ticker,nome
SHUL4.SA,Schulz
RNEW4.SA,Renova Energia
TASA4.SA,Taurus
LOGG3.SA,LOG CP
AGRO3.SA,BrasilAgro
MATD3.SA,Mater Dei
SAPR3.SA,Sanepar
VTRU3.SA,VITRUBREPCOM
ETER3.SA,Eternit
PRNR3.SA,Priner
RNEW3.SA,Renova Energia
DESK3.SA,Desktop
KLBN3.SA,Klabin
TAEE4.SA,Taesa
TECN3.SA,Technos
TPIS3.SA,Triunfo
ROMI3.SA,Indústrias ROMI
IGTI3.SA,Iguatemi
IGTI3.SA,Jereissati Participações
LUPA3.SA,Lupatech
VITT3.SA,Vittia
ITSA3.SA,Itaúsa
CMIG3.SA,CEMIG
BMOB3.SA,Bemobi
TGMA3.SA,Tegma
DEXP3.SA,Dexxos
PFRM3.SA,Profarma
AGXY3.SA,AgroGalaxy
INEP3.SA,Inepar
ALLD3.SA,Allied
WHRL3.SA,Whirlpool
RPMG3.SA,Refinaria de Manguinhos
BRAP3.SA,Bradespar
WHRL4.SA,Whirlpool
ELMD3.SA,Eletromidia
BIOM3.SA,Biomm
TCSA3.SA,Tecnisa
PINE4.SA,Banco Pine
ESPA3.SA,Espaçolaser
ESTR4.SA,Estrela
DMVF3.SA,D1000 Varejo Farma
TAEE3.SA,Taesa
CTSA4.SA,Santanense
VIVR3.SA,Viver
CSUD3.SA,CSU Cardsystem
PMAM3.SA,Paranapanema
EUCA4.SA,Eucatex
SANB4.SA,Banco Santander
WEST3.SA,Westwing
LVTC3.SA,WDC Networks
DOTZ3.SA,Dotz
GGBR3.SA,Gerdau
BRKM3.SA,Braskem
SANB3.SA,Banco Santander
BOBR4.SA,Bombril
GOAU3.SA,Metalúrgica Gerdau
INEP4.SA,Inepar
ATMP3.SA,Atma
HAGA4.SA,Haga
PDTC3.SA,Padtec
AMAR11.SA,Lojas Marisa
LOGN3.SA,Log-In
COCE5.SA,Coelce
UCAS3.SA,Unicasa
BMEB4.SA,Banco Mercantil do Brasil
EPAR3.SA,Embpar Participações
CAMB3.SA,Cambuci
TASA3.SA,Taurus
BRSR3.SA,Banrisul
AALR3.SA,Alliança
SNSY5.SA,Sansuy
CEBR3.SA,CEB
BEES3.SA,Banestes
RSID3.SA,Rossi Residencial
VSTE3.SA,LE LIS BLANC
ENGI4.SA,Energisa
EALT4.SA,Electro Aço Altona
ALUP4.SA,Alupar
UNIP3.SA,Unipar
OSXB3.SA,OSX Brasil
CEBR6.SA,CEB
BPAC3.SA,Banco BTG Pactual
RNEW11.SA,Renova Energia
CGRA4.SA,Grazziotin
CRPG6.SA,Tronox Pigmentos
BAZA3.SA,Banco da Amazônia
PTNT4.SA,Pettenati
ALPA3.SA,Alpargatas
AVLL3.SA,Alphaville
ENGI3.SA,Energisa
CLSC4.SA,Celesc
EMAE4.SA,EMAE
TRPL3.SA,Transmissão Paulista
RSUL4.SA,Metalúrgica Riosulense
EQPA3.SA,Equatorial Energia Pará
DEXP4.SA,Dexxos
MNDL3.SA,Mundial
OFSA3.SA,Ourofino Saúde Animal
MWET4.SA,Wetzel
BPAC5.SA,Banco BTG Pactual
NUTR3.SA,Nutriplant
OIBR4.SA,Oi
BEES4.SA,Banestes
RDNI3.SA,RNI
SCAR3.SA,São Carlos
AZEV11.SA,Azevedo & Travassos
BSLI3.SA,Banco de Brasília
CTSA3.SA,Santanense
HOOT4.SA,Hotéis Othon
ALUP3.SA,Alupar
CEBR5.SA,CEB
BAHI3.SA,Bahema
NEXP3.SA,Brasil Brokers
BGIP4.SA,Banese
EQMA3B.SA,Equatorial Maranhão
TELB3.SA,Telebras
PINE3.SA,Banco Pine
EALT3.SA,Electro Aço Altona
TELB4.SA,Telebras
HETA4.SA,Hercules
CGAS5.SA,Comgás
MRSA3B.SA,MRS Logística
CRPG5.SA,Tronox Pigmentos
MNPR3.SA,Minupar
BIOM11.SA,Biomm
MTSA4.SA,Metisa
WLMM4.SA,WLM
MGEL4.SA,Mangels
BMKS3.SA,Monark
PEAB4.SA,Participações Aliança da Bahia
UNIP5.SA,Unipar
EKTR4.SA,Elektro
GEPA4.SA,Rio Paranapanema Energia
BSLI4.SA,Banco de Brasília
REDE3.SA,Rede Energia
ELET5.SA,Eletrobras
BMEB3.SA,Banco Mercantil do Brasil
GEPA3.SA,Rio Paranapanema Energia
CTKA4.SA,Karsten
BRKM6.SA,Braskem
IGTI4.SA,Jereissati Participações
IGTI4.SA,Iguatemi
NINJ3.SA,GetNinjas
DOHL4.SA,Döhler
HAGA3.SA,Haga
FRIO3.SA,Metalfrio
HBTS5.SA,Habitasul
AHEB3.SA,São Paulo Turismo
CGRA3.SA,Grazziotin
EUCA3.SA,Eucatex
PTNT3.SA,Pettenati
RPAD6.SA,Alfa Holdings
FHER3.SA,Fertilizantes Heringer
ATOM3.SA,ATOM
PPLA11.SA,PPLA
PATI3.SA,Panatlântica
CBEE3.SA,Ampla Energia
NORD3.SA,Nordon
JOPA3.SA,Josapar
SNSY3.SA,Sansuy
BAUH4.SA,Excelsior
PEAB3.SA,Participações Aliança da Bahia
AHEB5.SA,São Paulo Turismo
LUXM4.SA,Trevisa
CPLE5.SA,Copel
TEKA4.SA,Teka
CEDO4.SA,Cedro Têxtil
BMIN4.SA,Banco Mercantil de Investimentos
PLAS3.SA,Plascar
PINE11.SA,Banco Pine
GSHP3.SA,General Shopping & Outlets
PSVM11.SA,PORTO VM
MRSA6B.SA,MRS Logística
ENMT4.SA,Energisa MT
SOND5.SA,Sondotécnica
CEDO3.SA,Cedro Têxtil
BMIN3.SA,Banco Mercantil de Investimentos
FESA3.SA,Ferbasa
BALM3.SA,Baumer
FIEI3.SA,Fica
MAPT4.SA,Cemepe
RPAD5.SA,Alfa Holdings
CEEB3.SA,COELBA
BALM4.SA,Baumer
CLSC3.SA,Celesc
PATI4.SA,Panatlântica
BGIP3.SA,Banese
USIM6.SA,Usiminas
BDLL4.SA,Bardella
BDLL3.SA,Bardella
MERC4.SA,Mercantil do Brasil Financeira
CGAS3.SA,Comgás
MAPT3.SA,Cemepe
WLMM3.SA,WLM
RRRP3.SA,RRRP3
MRSA5B.SA,MRS Logística
DTCY3.SA,Dtcom
AFLT3.SA,Afluente T
CEED3.SA,CEEE D
COCE3.SA,Coelce
BNBR3.SA,Banco do Nordeste
APER3.SA,Alper
BRSR5.SA,Banrisul
CEEB5.SA,COELBA
RPAD3.SA,Alfa Holdings
